T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
0.00,5.00,1.00,20.00,0,0,0,0,0,0
0.05,11.00,3.00,40.00,0,0,0,0,0,0
0.10,11.00,4.60,32.00,0,0,0,0,0,0
0.15,20.00,7.68,61.60,0,0,0,0,0,0
0.20,27.00,11.54,77.28,0,0,0,0,0,0
0.25,36.00,16.44,97.82,0,0,0,0,0,0
0.30,47.00,22.55,122.26,0,0,0,0,0,0
0.35,60.00,30.04,149.81,0,0,0,0,0,0
0.40,71.00,38.23,163.85,0,0,0,0,0,0
0.45,83.00,47.18,179.08,0,0,0,0,0,0
0.50,99.00,57.55,207.26,0,0,0,0,0,0
0.55,110.00,68.04,209.81,0,0,0,0,0,0
0.60,124.00,79.23,223.85,0,0,0,0,0,0
0.65,140.00,91.38,243.08,0,0,0,0,0,0
0.70,166.00,106.31,298.46,0,0,0,0,0,0
0.75,202.00,125.45,382.77,202,0,0,0,0,0
0.80,223.00,144.96,390.22,0,0,0,0,0,0
0.85,231.00,162.17,344.17,0,0,0,0,0,0
0.90,231.00,175.93,275.34,0,0,0,0,0,0
0.95,233.00,187.35,228.27,0,0,0,0,0,0
1.00,237.00,197.28,198.62,0,0,0,0,0,0
1.05,252.00,208.22,218.89,0,0,0,0,0,0
1.10,270.00,220.58,247.11,0,0,0,0,0,0
1.15,285.00,233.46,257.69,0,0,0,0,0,0
1.20,297.00,246.17,254.15,0,0,0,0,0,0
1.25,301.00,257.14,219.32,0,0,0,0,0,0
1.30,307.00,267.11,199.46,0,0,0,0,0,0
1.35,322.00,278.09,219.57,0,0,0,0,0,0
1.40,339.00,290.27,243.65,0,0,0,0,0,0
1.45,361.00,304.42,282.92,0,0,0,0,0,0
1.50,381.00,319.73,306.34,0,0,0,0,0,0
1.55,403.00,336.39,333.07,0,0,0,0,0,0
1.60,417.00,352.51,322.46,0,0,0,0,0,0
1.65,429.00,367.81,305.96,0,0,0,0,0,0
1.70,444.00,383.05,304.77,0,0,0,0,0,0
1.75,469.00,400.24,343.82,0,0,0,0,0,0
1.80,497.00,419.59,387.05,0,0,0,0,0,0
1.85,521.00,439.87,405.64,0,0,0,0,0,0
1.90,533.00,458.50,372.51,0,0,0,0,0,0
1.95,551.00,477.00,370.01,0,0,0,0,0,0
2.00,577.00,497.00,400.01,0,0,0,0,0,0
2.05,608.00,519.20,444.01,0,0,0,0,0,0
